Author	Book Title	ISBN	Year Level
Aaron, Moses	Lily and Me	9780091830311	7-8
Aaron, Moses (reteller); Mackintosh, David (ill.)	The Duck Catcher	9780733412882	EC-2
Abdel-Fattah, Randa	Does My Head Look Big in This?	978-0-330-42185-0	9-10
Abdel-Fattah, Randa	Jodie	978-1-74299-010-1	5-6
Abdel-Fattah, Randa	Noah's Law	9781742624280	9-10
Abdel-Fattah, Randa	Rania	9781742990188	5-6
Abdel-Fattah, Randa	The Friendship Matchmaker	978-1-86291-920-4	5-6, 7-8
Abdel-Fattah, Randa	The Friendship Matchmaker Goes Undercover	9781862919488	5-6, 7-8
Abdel-Fattah, Randa	Where the Streets Had a Name	978-0-330-42526-1	9-10
Abdulla, Ian	As I Grew Older	978-1-86291-183-3	5-6
Abdulla, Ian	Tucker	978-1-86291-206-9	5-6
Abela, Deborah	Ghost Club series		5-6
Abela, Deborah	Grimsdon	9781741663723	5-6
Abela, Deborah	In Search of the Time and Space Machine	978-1-74051-765-2	5-6, 7-8
Abela, Deborah	Max Remy Super Spy series		5-6, 7-8
Abela, Deborah	New City	9781742758558	5-6, 7-8
Abela, Deborah	Teresa	9781742990941	5-6, 7-8
Abela, Deborah	The Remarkable Secret of Aurelie Bonhoffen	9781741660951	5-6
Abela, Deborah; Warren, Johnny	Jasper Zammit Soccer Legend series		5-6, 7-8
Abrahams, Peter	Behind the Curtain	978-1-4063-0029-1	9-10
Abrahams, Peter	Down the Rabbit Hole	978-1-4063-0028-4	9-10
Abrahams, Peter	Into The Dark	9780060737108	9-10
Abramson, Ruth	The Cresta Adventure	978-0-87306-493-4	3-4
Acton, Sara	Ben Duck	9781741699142	EC-2
Acton, Sara	Hold on Tight	9781742833491	EC-2
Acton, Sara	Poppy Cat	9781743620168	EC-2
Acton, Sara	As Big As You	9781743629697	EC-2
Adams, Douglas	Life, the Universe and Everything	978-0-330-26738-0	9-10
Adams, Douglas	Mostly Harmless	978-0-330-32311-6	9-10
Adams, Douglas	So Long and Thanks for All the Fish	978-0-330-28700-5	9-10
Adams, Douglas	The Hitchhiker's Guide to the Galaxy	978-0-330-49119-8	9-10
Adams, Douglas	The Restaurant at the End of the Universe	978-0-330-26213-2	9-10
Adams, Jeanie	Pigs and Honey	978-1-86388-046-6	5-6
Adams, Jessica	Kids Night In 3: A Sea of Stories and Oceans of Other Stuff	978-0-14-330445-6	5-6
Adams, Jessica; Basini, Helen; Earls, Nick	Kids' Night In 2: A Feast of Stories	978-0-14-330016-8	5-6
Adams, Jessica; Partridge, Juliet; Earls, Nick	Kid's Night In!	978-0-14-330058-8	9-10
Adams, Michael	The Last Girl	9781743316368	9-10
Adams, Michael	The Last Place	9781743316740	9-10
Adams, Michael	The Last Shot	9781743316733	9-10
Adams, Pam	Mrs Honey's series		EC-2
Adams, Phillip; Newell, Patricia	What a Joke! Collection	978-0-14-330149-3	5-6
Adams, Richard	Watership Down	978-0-06-093545-0	7-8
Adamson, Joy	Born Free	978-0-375-71438-2	7-8
Adornetto, Alexandra	The Lampo Circus	978-0-7322-8619-4	7-8
Adornetto, Alexandra	Von Gobstopper's Arcade	978-0-7322-8663-7	7-8
Adornetto, Alexandra	Hades	9780312656270	9-10
Adornetto, Alexandra	Halo	9780312656263	9-10
Adornetto, Alexandra	Heaven	9780312656287	9-10
Adornetto, Alexandra	The Shadow Thief	978-0-7322-8618-7	7-8
Agard, John	Hello New!	978-1-84121-621-8	3-4
Ahlberg, Allan	Chicken, Chips and Peas	9780670879915	EC-2
Ahlberg, Allan	Jeremiah in the Dark Woods	9780006716402	EC-2
Ahlberg, Allan	Please Mrs Butler	9780140314946	3-4
Ahlberg, Allan	The Bravest Ever Bear	9780744578645	3-4
Ahlberg, Allan; Ahlberg, Janet (ill.)	Each Peach Pear Plum	9780140509199	EC-2
Ahlberg, Allan; Ahlberg, Janet (ill.)	Peepo!	9780670871766	EC-2
Ahlberg, Allan; Ahlberg, Janet (ill.)	The Jolly Postman or Other People's Letters	9780670886241	EC-2
Ahlberg, Allan; Amstutz, Andre (ill.)	Grandma Fox	9780140564020	EC-2
Ahlberg, Allan; Briggs, Raymond (ill.)	The Adventures of Bert	9780140567540	EC-2
Ahlberg, Allan; Ingham, Bruce	The Pencil	9781406309621	3-4
Ahlberg, Allan; Ingman, Bruce	Previously	9781844280629	3-4
Ahlberg, Allan; Ingman, Bruce	The Runaway Dinner	9781406305494	EC-2
Ahlberg, Allan; Ingman, Bruce (ill.)	Everybody Was a Baby Once	9781406321562	EC-2, 3-4
Ahlberg, Allan; Jaques, Faith (ill.)	Miss Dose the Doctor's Daughter	9780140323467	EC-2
Aiken, Joan	Foot in the Grave	978-0-670-84169-1	7-8
Aiken, Joan	The Wolves of Willoughby Chase	978-0-09-941186-4	7-8
Ain, Beth; Higgins Keenan, Anne (ill)	Starring Jules series		5-6
Airey, Miriam	No Hat Brigade	978-1-74051-773-7	3-4
Albertalli, Becky	Simon vs. the Homo Sapiens Agenda	9780062348678	9-10
Albom, Mitch	Tuesdays with Morrie	9780733622694	9-10
Alborough, Jez	Cuddly Dudley	9780744536072	EC-2
Alborough, Jez	Hug	9780744582734	EC-2
Alborough, Jez	My Friend Bear	9780744555714	EC-2
Alborough, Jez	Some Dogs Do	9781844284573	EC-2
Alborough, Jez	Super Duck	9780007273263	EC-2
Alborough, Jez	Watch Out Big Bro's Coming	9780744563047	EC-2
Alborough, Jez	Where's My Teddy?	9781844284818	EC-2
Alborough, Jez	Yes	9781406304565	EC-2
Alborozo	The Acrobat	9781846436338	EC-2
Alborozo, Gabriel	Let's Play	9781743316283	EC-2
Alcott, Louisa May	Eight Cousins	978-0-14-037456-8	9-10
Alcott, Louisa May	Good Wives	978-0-14-036695-2	9-10
Alcott, Louisa May	Jo's Boys	978-0-14-036714-0	9-10
Alcott, Louisa May	Little Men	978-0-14-036713-3	9-10
Alcott, Louisa May	Little Women	978-1-904633-27-3	9-10
Alderson, Maggie	Evangeline	9780670075355	EC-2, 3-4
Aldridge, James	The Girl from the Sea	978-0-14-300112-6	7-8
Aldridge, James	The True Story of Lilli Stubeck	978-0-14-012328-9	7-8
Aldridge, James	The True Story of Spit MacPhee	978-0-14-010590-2	7-8
Aldridge, James	Wings of Kitty St Clair	978-0-14-300492-9	7-8
Aldrin, Buzz; Minor, Wendell (ill.)	Look to the Stars	978-0-14-350380-4	5-6
Alexander, Goldie	Car-Crimes	9780987141286	5-6
Alexander, Goldie	Cowpat$	1-92069-933-3	5-6
Alexander, Goldie	Hanna My Holocaust Story	9781743629673	7-8, 9-10
Alexander, Goldie	Killer Virus and Other Stories	978-1-876580-36-0	5-6
Alexander, Goldie	Surviving Sydney Cove: the Diary of Elizabeth Harvey, Sydney, 1790	978-1-86504-267-1	5-6, 7-8
Alexander, Goldie	The Little Big School	978-0-7329-5295-2	EC-2
Alexander, Goldie	The Youngest Cameleer	978-1-74130-495-4	3-4, 5-6
Alexander, Goldie	Transported	978-0-439-98114-9	7-8
Alexander, Goldie; Gardner, Marjory (ill.)	Hedgeburners	978-1-921479-26-7	5-6
Alexander, Goldie; Gaudion, Michele (ill.)	Lame Duck Protest	978-1-921479-13-7	3-4
Alexander, Lloyd	Taran Wanderer	978-0-7460-6839-7	7-8
Alexander, Lloyd	The Black Cauldron	978-0-7460-6039-1	7-8
Alexander, Lloyd	The Book of Three	978-0-7460-6038-4	7-8
Alexander, Lloyd	The Castle of Llyr	978-0-7460-6040-7	7-8
Alexander, Lloyd	The High King	978-0-440-43574-7	7-8
Alexandra, Tonya	Nymph	9781922077240	7-8
Alexie, Sherman	The Absolutely True Diary of a Part-Time Indian	978-1-84270-844-6	9-10
Aliki	William Shakespeare and the Globe	978-0-06-443722-6	7-8
Allaby, Michael	DK Guide to Weather	978-0-7513-2856-1	3-4
Allen, Emma; Blackwood, Freya (ill.)	The Terrible Suitcase	9781862919402	EC-2, 3-4
Allen, Emma; Sommerville, Hannah (ill.)	Grandma, the Baby and Me	9781862918733	EC-2
Allen, Emma; Sommerville, Hannah (ill.)	My Friend Ernest	9781460750537	EC-2
Allen, Judy	Anthology for the Earth	978-0-7636-0301-4	3-4
Allen, Judy	The Blue Death	978-0-340-80571-8	9-10
Allen, Pamela	Alexander's Outing	978-0-14-055478-6	EC-2
Allen, Pamela	Belinda	978-0-14-054493-0	EC-2
Allen, Pamela	Bertie	9780670076956	EC-2
Allen, Pamela	Bertie and the Bear	978-0-7343-0380-6	EC-2
Allen, Pamela	Black Dog	978-0-14-054395-7	EC-2
Allen, Pamela	Brown Bread and Honey	978-0-14-056825-7	EC-2
Allen, Pamela	Can You Keep a Secret?	978-0-670-84405-0	EC-2
Allen, Pamela	Cuthbert's Babies	978-0-670-04073-5	EC-2
Allen, Pamela	Daisy All Sorts	978-0-7343-0480-3	EC-2
Allen, Pamela	Fancy That!	978-0-14-050971-7	EC-2
Allen, Pamela	Grandpa and Thomas	978-0-670-04157-2	EC-2
Allen, Pamela	Grandpa and Thomas and The Green Umbrella	978-0-670-02973-0	EC-2
Allen, Pamela	Hetty's Day Out	978-0-670-07447-1	EC-2
Allen, Pamela	I Wish I Had a Pirate Suit	978-0-14-050988-5	EC-2
Allen, Pamela	Is Your Grandmother a Goanna?	978-0-670-07112-8	EC-2
Allen, Pamela	Mr Archimedes' Bath	978-0-207-17285-4	EC-2
Allen, Pamela	Mr McGee series		EC-2
Allen, Pamela	My Cat Maisie	978-0-01-405423-7	EC-2
Allen, Pamela	Nana's Colours	9780670075379	EC-2
Allen, Pamela	Our Daft Dog Danny	978-0-670-07335-1	EC-2
Allen, Pamela	Share Said the Rooster	978-0-670-04237-1	EC-2
Allen, Pamela	Shhh! Little Mouse	978-0-670-07068-8	EC-2
Allen, Pamela	The Bear's Lunch	978-0-14-056241-5	EC-2
Allen, Pamela	The Little Old Man Who Looked Up At The Moon	9780670075812	EC-2
Allen, Pamela	The Pear in the Pear Tree	978-0-14-056497-6	EC-2
Allen, Pamela	The Potato People	978-0-670-89660-8	EC-2
Allen, Pamela	The Toymaker and the Bird	978-0-670-07363-4	EC-2
Allen, Pamela	Where's the Gold?	978-0-670-02844-3	EC-2
Allen, Pamela	Who Sank the Boat?	978-0-14-056693-2	EC-2
Allen, Pamela	One Sunday	9780670077656	EC-2
Allen, Pamela	The Man with Messy Hair	9780670078677	EC-2
Allen, Pamela	Fat Ferdie	9780670077168	EC-2
Allen, Pamela	The Big Fish	9780670078974	EC-2
Allen, Peter	Our Don Bradman: the Diary of Victor McDonald, Sydney, 1932	978-1-86504-591-7	5-6, 7-8
Allen, Scott	Jesse the Elephant	9781921638138	3-4
Allende, Isabel	City of the Beasts	978-0-00-714635-2	7-8
Allende, Isabel	Forest of the Pygmies	978-0-00-719963-1	7-8
Allende, Isabel	Kingdom of the Golden Dragon	978-0-00-717748-6	7-8
Allum, Margaret; Watson, Judy (ill.)	How Many Peas in a Pod?	978-1-921049-43-9	EC-2
Almond, David	Kit's Wilderness	978-0-340-72716-4	7-8
Almond, David	My Name Is Mina	978-0-340-99725-3	7-8, 9-10
Almond, David	Skellig	978-0-340-71600-7	7-8, 9-10
Almond, David	Wild Girl, Wild Boy: a Play	978-0-340-85431-0	7-8
Altbacker, E.J	Shark Wars	9780141339559	5-6
Amadio, Nadine; Blackman, Charles (ill.)	The New Adventures of Alice in Rainforest Land	978-0-949284-07-5	3-4
Amery, Heather; Cartwright, Stephen (ill.)	Pig Gets Lost	978-0-7460-0590-3	EC-2
Amery, Heather; Cartwright, Stephen (ill.)	The Old Steam Train	978-0-7460-3336-4	EC-2
Amery, Heather; Cartwright, Stephen (ill.)	The Runaway Tractor	978-0-7460-3913-7	EC-2
Amery, Heather; Cartwright, Stephen (ill.)	Woolly Stops the Train	978-0-7460-3468-2	EC-2
Anderson, Laurie Halse	Fever 1793	978-0-340-85409-9	9-10
Anderson, M. T.	Feed	978-0-7445-9085-2	9-10
Anderson, M. T.	Me All Alone at the End of the World	978-1-4063-0482-4	5-6
Anderson, M. T.	The Astonishing Life of Octavian Nothing Traitor to the Nation	978-1-84428-211-1	9-10
Anderson, Rachel	Warlands	978-0-198-32634-2	9-10
Andreae, Giles	Giraffes Can't Dance	978-1-84121-565-5	EC-2
Andreae, Giles (ill.); Ayto, Russell (ill.)	Captain Flinn and the Pirate Dinosaurs	978-0-140-56921-6	EC-2
Andreae, Giles (ill.); Ayto, Russell (ill.)	Missing Treasure	978-0-141-50049-2	EC-2
Andreae, Giles (ill.); Ayto, Russell (ill.)	Smugglers Bay	978-0-141-50132-1	EC-2
Andreae, Giles (ill.); Ayto, Russell (ill.)	The Magic Cutlass	978-0-141-50131-4	EC-2
Andreae, Giles; Cabban, Vanessa (ill.)	The Magic Donkey Ride	978-1-84121-924-0	EC-2
Andreae, Giles; Sharrat, Nick (ill.)	Billy Bonkers series		3-4
Andreae, Giles; Wojtowycz, David (ill.)	Dinosaurs Galore!	978-1-84362-309-0	EC-2
Anello, Christine; Thompson, Sharon (ill.)	The Farmyard Cat in Trouble	978-0-86896-889-6	EC-2
Angelou, Maya	My Painted House, My Friendly Chicken and Me	978-0-375-82567-5	EC-2
Anggabrata, Ian	I Wish I Had a Dinosaur	978-1-86504-796-6	EC-2
Angleberger, Tom	Origami Yoda series		5-6
Anhar, Nazam	Dragon Hunter	9781742830308	7-8
Anhar, Nazam	Scrimshaw	978-1-74169-338-6	7-8
Anholt, Laurence	Billy Beast	978-1-84121-410-8	EC-2
Anholt, Laurence	Camille and the Sunflowers	978-0-7112-1050-9	3-4
Anholt, Laurence	Cinderboy	978-1-84121-404-7	EC-2
Anholt, Laurence	Daft Jack and the Bean Stack	978-1-84121-408-5	EC-2
Anholt, Laurence	Eco Wolf and the Three Pigs	978-1-84121-394-1	EC-2
Anholt, Laurence	Freddy Frogface	9781846160776	EC-2
Anholt, Laurence	Frida Kahlo and the Bravest Girl in the World	9781847806666	3-4
Anholt, Laurence	Ghostyshocks and the Three Scares	978-1-84121-396-5	EC-2
Anholt, Laurence	Little Red Riding Wolf	978-1-84121-400-9	EC-2
Anholt, Laurence	Rumply Crumply Stinky Pin	978-1-84121-412-2	EC-2
Anholt, Laurence	Seriously Silly Stories: the Collection	978-1-84121-037-7	EC-2
Anholt, Laurence	Shampoozel	978-1-84121-392-7	EC-2
Anholt, Laurence	The Emperor's Underwear	978-1-84121-406-1	EC-2
Anholt, Laurence	The Fried Piper of Hamstring	978-1-84121-398-9	EC-2
Anholt, Laurence	The Rather Small Turnip	978-1-84121-414-6	EC-2
Anholt, Laurence; Robins (ill.)	Snow White and the Seven Aliens	978-1-84121-402-3	EC-2
Anna Ciddor	A Roman Day to Remember	978-0816767960	3-4
Annear, Robyn	Fly a Rebel Flag: the Battle of Eureka	978-1-876372-23-1	3-4, 5-6
Anno, Mitsumasa	Anno's Mysterious Multiplying Jar	978-0-399-20951-2	3-4
Antle, Nancy	Ordinary Albert	978-0-207-19047-6	EC-2
Antle, Nancy	The Longest War	978-0-14-130324-6	7-8
Apeitos, Stacey; Kundrus, Ulrike (ill.)	Two Left Feet	978-0-207-18647-9	EC-2
Apel, Kathryn	Bully on the Bus	780702253287	3-4, 5-6
Applegate, Cathy	Red Sand, Blue Sky	978-1-55861-278-5	7-8
Applegate, Cathy; Huxley, Dee (ill)	Rain Dance	978-1-876289-40-9	3-4
Applegate, Katherine	The One and Only Ivan	9780061992254	3-4
Arbuthnott, Gill	What Makes You You?	9781408194065	5-6
Ardagh, Philip	Awful End	978-0-571-20354-3	7-8
Ardagh, Philip	Dreadful Acts	978-0-571-20947-7	7-8
Ardagh, Philip	Heir of Mystery	978-0-571-21094-7	5-6
Ardagh, Philip	Terrible Times	978-0-571-21622-2	7-8
Ardagh, Philip	The Fall of Fergal	978-0-571-21521-8	5-6
Ardagh, Philip	The Rise of the House of McNally	978-0-571-21099-2	5-6
Arena, Felice	Andy Roid series		5-6
Arena, Felice	Bravo Billy	978-0-207-19834-2	7-8
Arena, Felice	Breakaway John	978-0-207-19842-7	7-8
Arena, Felice	Farticus Maximus series		3-4
Arena, Felice	Hey, Cat!	978-0-67007-175-3	3-4
Arena, Felice	Mission Buffalo	978-0-00-675199-1	3-4
Arena, Felice	Sally and Dave, A Slug Story	978-0-14-350188-6	EC-2
Arena, Felice	Specky Magee series		5-6, 7-8
Arena, Felice	Stick Dudes series		3-4
Arena, Felice	Whipper Snapper	978-0-14-330609-2	5-6
Arena, Felice	Wish	978-0-14-330212-4	7-8
Arena, Felice; Jellett, Tom (ill.)	Sporty Kids series		EC-2
Arena, Felice; Kettle, Phil	Boyz Rule series		3-4
Arena, Felice; Lyon, Garry	Specky Magee series		5-6, 7-8
Arena, Jacqueline	Girlz Rock! Series		3-4
Arena, Maria	Mira Falling	978-0-7344-0866-2	9-10
Argent, Kerry	India the Showstopper	978-1-86508-596-8	EC-2
Arlon, Penelope	Animal Babies	9781407131481	EC-2
Arlon, Penelope	Birds	978-1-4053-1313-1	EC-2
Arlon, Penelope	Discover More series		3-4
Arlon, Penelope	Insect	978-1-4053-1609-5	EC-2
Arlon, Penelope	My Body	9781407131504	EC-2
Arlon, Penelope	Plant	978-1-4053-1311-7	EC-2
Arlon, Penelope	Tree	978-1-4053-1310-0	EC-2
Arlon, Penelope	Water	978-1-4053-1312-4	EC-2
Arlon, Penelope; Gordon-Harris, Tory	Farm	9781407131498	3-4, 5-6
Arlon, Penelope; Gordon-Harris, Tory	Penguins	9781407131528	3-4, 5-6
Arlon, Penelope; Gordon-Harris, Tory	See Me Grow	9781407131542	3-4, 5-6
Armitage, Ronda; Armitage, David (ill.)	Don't Forget Matilda!	978-0-590-70038-2	EC-2
Armitage, Ronda; Armitage, David (ill.)	Queen of the Night	978-0-590-54330-9	EC-2
Armitage, Ronda; Armitage, David (ill.)	The Lighthouse Keeper's series		EC-2
Armstrong, Kelley	The Gathering	9780061797026	9-10
Armstrong, William	Sounder	978-0-06-440020-6	7-8
Arnold, Nick	Horrible Science series	978-0-439-96364-0	7-8
Arnott, Susan	Astrolabe: Adventures in the Southern Seas	978-0-7344-0818-1	5-6
Aronson, Linda	Naturally Rude	978-0-1413-1063-3	5-6, 7-8
Aronson, Linda	Plain Rude	978-0-330-48254-7	7-8
Aronson, Linda	Rude Health	978-0-330-39060-6	7-8
Arrigan, Mary	Esty's Gold	978-1-84507-965-9	7-8
Arrigan, Mary	Hard Luck	978-1842994481	7-8, 9-10
Artis, Lara	Police Officer	978-1-86391-849-7	3-4
Ashby, Amanda	Fairy Bad Day	9780143565772	7-8
Asimov, Isaac	The Heavenly Host	978-0-14-031117-4	5-6
Asimov, Issac	I, Robot	978-0-7393-1269-8	9-10
Asphyxia	The Grimstones series		5-6, 7-8
Atherton, Bruce	Al Dentay and the Incredible Spaghetti Machine	978-0-7344-0982-9	5-6
Atherton, Bruce; McEwan, Keith (ill.)	The Billycart Ride	978-0-14-350100-8	EC-2
Atherton, Bruce; Redlich, Ben (ill.)	Cowzat!	9781921136658	3-4
Atherton, Bruce; Redlich, Ben (ill.)	The Pumpkin Eater from Pondicherry	978-0-73441-023-8	3-4
Atinuke	Anna Hibiscus series		3-4
Atinuke; Tobia, Lauren (ill.)	Splash, Anna Hibiscus!	9781406339673	EC-2
Atkins, Clare	Nona and Me	9781863956895	9-10
Atkinson, Kathie	A is for Australian Animals	978-1-86291-205-2	EC-2
Atkinson, Kathie	At the Beach	978-0-04-442121-4	EC-2
Atkinson, Kathie	In the Backyard	978-0-04-442122-1	EC-2
Atkinson, Kathie	In the Rainforest	978-1-86373-122-5	EC-2
Atkinson, Kathie	What's for Dinner?	978-1-86373-375-5	EC-2
Atwood, Grace; Slaghekke, Harry (ill.)	Meet Nancy Bird Walton	9780857983879	3-4
Atwood, Margaret	The Handmaid's Tale	9781551994963	9-10
Augarde, Steve	X Isle	978-0-385-610612	9-10
Austen, Jane	Northanger Abbey	978-0-14-119485-1	9-10
Austen, Jane	Pride and Prejudice	978-0-14-037337-0	9-10
Austen, Jane	Sense and Sensibility	978-0-45153-101-8	9-10
Austin, Mark; Miller, David (ill.)	Ringle Tingle Tiger	978-0-7344-0344-5	EC-2
Austrian, J.T.; Curato, Mike (ill.)	Worm Loves Worm	9780062386335	EC-2
Axelsen, Stephen	The Nelly Gang	9781921977916	3-4, 5-6
Axelsen, Stephen	The Very Messy Inspection	978-0-7593-2077-2	3-4
Ayling, Tony; Bell, Gary (photo)	Australian Sea Mammals	978-1-74021-955-6	5-6
Babbit, Natalie	Tuck Everlasting	978-0-7475-5595-7	7-8
Bacigalupi, Paolo	Ship Breaker	9780316056212	9-10
Baddaley, Liz	The Finding of Freddie Perkins	9781408186084	3-4
Baddiel, Ivor; Zucker, Jonny	Mystical Magic	978-0-439-98117-0	7-8
Badger, M.C	A Very Good Idea	9781742976242	3-4
Badger, M.C	An Excellent Invention	9781742976259	3-4
Badger, M.C	Blame it on the Boogie	9781743582664	3-4
Badger, M.C	The Coolest Pool	9781742976266	3-4
Badger, M.C	The Perfect Pet	9781742976273	3-4
Badger, Meredith	Angels Forever	978-1-921288-30-2	3-4
Badger, Meredith	Back to School	978-1-921098-43-7	3-4
Badger, Meredith	Beach Break	978-1-921502-98-9	3-4
Badger, Meredith	Birthday Girl	978-1-921098-53-6	3-4
Badger, Meredith	Boy Friend?	978-1-921288-46-3	3-4
Badger, Meredith	Boy Friend?	9781742736181	3-4
Badger, Meredith	Camp Chaos	978-1-921098-36-9	3-4
Badger, Meredith	Field Trip Trouble	9780312346454	3-4
Badger, Meredith	Going Overboard	978-1-921288-27-2	3-4
Badger, Meredith	Keeping Secrets	978-1-921502-99-6	3-4
Badger, Meredith	Over the Rainbow	978-1-921288-34-0	3-4
Badger, Meredith	Puppy Love	978-1-921288-28-9	3-4
Badger, Meredith	Truth or Dare?	978-1-92141-734-4	3-4
Badger, Meredith; Mackintosh, Michelle (ill.)	Fairy School Drop-Out	978-1-921098-55-0	3-4
Badger, Meredith; Mackintosh, Michelle (ill.)	Undercover	978-1-921098-71-0	3-4
Badger, Meredith; Perry, Chrissie	Go Girl! Angels Anniversary Edition	978-1-92141-749-8	3-4
Bailey, Em	Shift	9781921564390	9-10
Bailey, Em	The Special Ones	9781742976280	9-10
Bailey, Jill	Mosquito	978-0-431-01670-2	EC-2
Bailey, Jill	Worm	978-0-431-01678-8	EC-2
Baillie, Allan	Cat's Mountain	978-0-14-330229-2	7-8
Baillie, Allan	Foggy	978-0-14-131041-1	5-6
Baillie, Allan	Heroes: Australians at their Best	978-1-876580-13-1	7-8
Baillie, Allan	Imp	978-0-14-131416-7	3-4
Baillie, Allan	Little Brother	978-0-14-034199-7	5-6
Baillie, Allan	Magician	978-0-14-036127-8	7-8
Baillie, Allan	Mates and Other Stories	978-1-86291-142-0	7-8
Baillie, Allan	Riding with Thunderbolt: the Diary of Ben Cross, Northern NSW, 1865	978-1-86504-580-1	5-6, 7-8
Baillie, Allan	Saving Abbie	978-0-14-130740-4	7-8
Baillie, Allan	The China Coin	978-0-14-034753-1	7-8
Baillie, Allan	The Excuse	978-0-14-038659-2	3-4
Baillie, Allan	The First Voyage	9780143307679	7-8, 9-10
Baillie, Allan	The Last Shot	978-1-86291-316-5	7-8
Baillie, Allan	Treasure Hunters	978-0-14-330007-6	7-8
Baillie, Allan	Wreck	978-0-14-038796-4	7-8
Baillie, Allan; Harris, Wayne (ill.)	DragonQuest	978-1-86388-120-3	3-4
Baillie, Allan; Magerl, Caroline (ill.)	Castles	978-0-670-04184-8	EC-2
Baillie, Allan; Tanner, Jane (ill.)	Drac and the Gremlin	978-0-14-054142-7	3-4
Baillie, Allan; Wu, Di (ill.)	Old Magic	978-0-09-182915-5	3-4
Bajo; Hex	Dig World	9781760159252	5-6
Bajo; Hex	Dragon Land	9781760275662	5-6
Baker Kline, Christina	Orphan Train	9780061950728	9-10
Baker, Alan	I Thought, I Heard	978-0-7496-2972-4	EC-2
Baker, Jeannie	Belonging	978-0-7445-9227-6	EC-2, 3-4, 5-6
Baker, Jeannie	Grandfather	978-1-86388-088-6	EC-2
Baker, Jeannie	Grandmother	978-1-86388-089-3	EC-2
Baker, Jeannie	Home in the Sky	978-0-09-950111-4	EC-2
Baker, Jeannie	Millicent	978-0-86896-464-5	EC-2
Baker, Jeannie	Mirror	978-1-4063-0914-0	EC-2, 3-4, 5-6
Baker, Jeannie	One Hungry Spider	978-0-86896-670-0	EC-2
Baker, Jeannie	The Hidden Forest	978-0-7445-6163-0	EC-2, 3-4
Baker, Jeannie	The Story of Rosy Dock	978-0-7445-9475-1	EC-2, 3-4
Baker, Jeannie	Where the Forest Meets the Sea	978-0-7445-1305-9	EC-2, 3-4, 5-6
Baker, Jeannie	Window	978-0-09-918211-5	EC-2, 3-4
Baker, Jeannie	Circle	9780763679668	5-6
Baker, Matthew	If You Find This	9780316240086	5-6, 7-8
Baldacci, David	Day Of Doom	9780545298445	5-6, 7-8
Bali, Rai	The Last Taboo	978-0-552-55301-8	9-10
Ball, Duncan	Emily Eyefinger series		3-4
Ball, Duncan	Piggotts in Peril	978-0-207-19783-3	5-6
Ball, Duncan	Selby series		5-6
Ball, Duncan	The Ghost and the Goggle-box	978-0-207-19149-7	5-6
Ball, Duncan; Rawlins, Donna (ill.)	Jeremy's Tail	978-0-86896-587-1	EC-2
Ball, Duncan; Smith, Craig (ill.)	My Dog is a Scaredy Cat	978-0-207-19819-9	EC-2
Ball, Duncan; Stoman, Alan (ill.)	The Joke's on Selby	978-0-7322-8862-4	5-6
Balla, Trace	Rivertime	9781743316337	3-4
Balla, Trace	Shine - A Story About Saying Goodbye	9781743316344	3-4
Ballantyne, Maryann	Tara: Goal Keeper	978-1-876372-78-1	5-6, 7-8
Ballantyne, R. M.	The Coral Island	978-1-85326-170-1	7-8
Balliett, Blue	Chasing Vermeer	978-0-439-37294-7	7-8
Bancks, Tristan	Coolhunter	9781925324334	7-8
Bancks, Tristan	I Love NY	978-1-74166-300-6	7-8
Bancks, Tristan	My Life and Other … series		3-4, 5-6
Bancks, Tristan	The Rules of Cool	978-1-74166-299-3	7-8
Bancks, Tristan	Two Wolves	9780857982032	7-8
Bancroft, Bronwyn	An Australian 123 of Animals	9781921894213	EC-2
Bancroft, Bronwyn	An Australian ABC of Animals	9781921894220	EC-2
Bancroft, Bronwyn	Patterns of Australia	978-1-921049-70-5	EC-2, 3-4
Bancroft, Bronwyn	Possum and Wattle	978-1-921272-58-5	EC-2
Bancroft, Bronwyn	Remembering Lionsville	9781742373201	EC-2
Bancroft, Bronwyn	Why I Love Australia	978-192-154-1780X	EC-2, 3-4, 5-6
Banks, Angelica	A Week without Tuesday	9781627791557	5-6
Banks, Angelica	Blueberry Pancakes Forever	9781760110451	5-6
Banks, Angelica	Finding Serendipity	9781743310311	5-6
Banks, Kate	Close Your Eyes	978-0-86461-409-4	EC-2
Banks, Lynne Reid	Angela and Diabola	978-0-00-675300-1	7-8
Banks, Lynne Reid	Indian in the Cupboard series		5-6
Banks, Lynne Reid	Maura's Angel	978-0-380-97590-7	7-8
Banyai, Istvan	Re-Zoom	978-0-670-86392-1	3-4
Banyai, Istvan	Zoom	978-0-670-85804-0	3-4
Barbalet, Margaret	Reggie, Queen of the Street	978-0-14-350091-9	EC-2
Barber, Antonia; Bayley, Nicola (ill.)	The Mousehole Cat	978-0-7445-2353-9	3-4
Barber, Shirley	The Seventh Unicorn	978-1-86503-136-1	3-4
Barker, Dominic	Blart series		5-6
Barker, Kathryn	In The Skin of a Monster	9781760111717	9-10
Barlow, Steve	Funny Business	978-1-84299-374-3	7-8, 9-10
Barlow, Steve; Skidmore, Steve	The Doomsday Virus	978-1-59889-907-8	7-8, 9-10
Barnard, Simon	A-Z of Convicts in Van Diemen's Land	9781922079343	7-8
